AN	An
diſem	diesem
fünfften	fünften
ſtucke	Stück
des	des
puchs	Buchs
ſoͤll	sollen
wir	wir
ſagen	sagen
von	von
den	den
kreüteren	Kräutern
vnd	und
des	des
erſten	ersten
in	in
eyner	einer
gemein	Gemein

Es	Es
iſt	ist
ein	eine
frag	Frage
wie	wie
ſo	so
mangerlei	mancherlei
kraut	Kraut
ſey	sei
dz	das
auſz	aus
der	der
erdẽ	Erde
wachs	wächst
vnd	und
doch	doch
die	die
erd	Erde
nür	nur
einerleÿ	einerlei
iſt	ist
wãn	wann
ſÿ	sie
iſt	ist
ein	ein
einueltigs	einfältiges
element	Element
⸗	-

Das	Das
verantwurt	verantwortet
man	man
alſo	also
vñ	und
ſpricht	spricht
das	dass
die	die
kreüter	Kräuter
nit	nicht
wachſen	wachsen
noch	noch
kom̃en	kommen
auſz	aus
einfeltiger	einfältiger
erd	Erde
/	/
wãn	wann
dz	das
erdtrich	Erdreich
dz	das
wir	wir
ſehen	sehen
vñ	und
greÿffen	greifen
vñ	und
die	die
baum	Bäume
vñ	und
die	die
kreüter	Kräuter
auſz wachſſen	auswachsen
das	das
iſt	ist
gemiſchett	gemischt
auſz	aus
dẽ	den
vier	vier
elemẽten	Elementen
/	/
feüer	Feuer
lufft	Luft
waſſer	Wasser
vñ	und
auſz	aus
lauter	lauter
erd	Erde
vñ	und
die	die
miſchung	Mischung
iſt	ist
ſo	so
mangerleÿ	mancherlei
dz	dass
die	die
kreüter	Kräuter
mangerleÿ	mancherlei
art	Art
begreÿffent	begreifend
vñ	und
/	/
mangerleÿ	mancherlei
geſtalt	Gestalt
¶	¶

So	So
iſt	ist
ein	eine
andere	andere
frag	Frage
warumb	warum
heyſz	heißen
wir	wir
ein	ein
irdiſch	irdisches
dingk	Ding
waͤſſeriger	wässriger
natur	Natur
dz	das
ander	andere
feüeringer	feuriger
natur	Natur
das	das
drit	dritte
lüftig	luftiger
das	das
vierd	vierte
erden	irdener
/	/

dar zů	dazu
ſpricht	spricht
mã	man
das	dass
ein	ein
ÿegklich	jegliches
ding	Ding
ſeinẽ	seinen
namen	Namen
habe	habe
nach	nach
dem	dem
maiſten	meisten
werck	Werk
vnd	und
von	von
der	der
meiſten	meisten
eigenſchaft	Eigenschaft
die	die
es	es
hat	hat
wie	wie
das	das
nun	nun
ſeÿ	sei
das	dass
alle	alle
irdiſche	irdischen
ding	Dinge
auſz	aus
den	den
vier	vier
elementen	Elementen
ſeien	seien

doch	doch
iſt	ist
eins	eines
hicziger	hitziger
denn	denn
das	das
ander	andere

das	das
heÿſz	heißen
wyr	wir
feürin	feurig
/	/

dz	das
heyſz	heißen
wir	wir
waͤſſerig	wässrig
⸗	-

So	So
iſt	ist
ÿegklichs	jegliches
gar	gar
leicht	leicht
vñ	und
zeüchte	zieht
überſich	über sich

das	das
heÿſz	heißen
wir	wir
lüftig	luftig
⸗	-

Welches	Welches
aber	aber
gar	gar
ſchwer	schwer
iſt	ist
vnnd	und
kalt	kalt
vnd	und
vnderſich	unter sich
czeücht	zieht
das	das
heÿſz	heißen
wir	wir
irdiſcher	irdischer
natur	Natur
⸗	-

Wie	Wie
das	das
ſey	sei
das	dass
die	die
vorgenanten	vorgenannten
ding	Dinge
der	der
erden	Erde
aller meiſt	allermeist
haben	haben
nach	nach
der	der
groͤſz	Größe

fewers	Feuers
oder	oder
des	des
lufftes	Lufts
hat	hat
mer	mehr
krafft	Kraft
vnnd	und
werckes	Werks
deñ	denn
gar	gar
Michel	michel
erde	Erde
oder	oder
waſſers	Wassers
⸗	-

Auch	Auch
nemen	nehmen
die	die
ding	Dinge
ir	ihre
krefft	Kraft
von	von
den	den
formen	Formen
vñ	und
von	von
den	den
eigenheÿten	Eigenheiten
die	die
der	der
himel	Himmel
krefft	Kräfte
darein	da rein
trucken	drücken
⸗	-

¶	¶
Noch	Noch
iſt	ist
ein	eine
frag	Frage

ſeÿd	seit
ein	ein
kraut	Kraut
an	an
der	der
krafft	Kraft
kalt	kalt
iſt	ist
dz	das
ander	andere
warm	warm
/	/
eins	eines
ſüſz	süß
das	das
ander	andere
ſawer	sauer
vnd	und
pytter	bitter

vnnd	und
ſich	sich
ein	ein
ÿegklich	jegliches
ding	Ding
nert	nährt
von	von
ſeÿnem	seinem
geleÿchen	gleichen
als	als
ſuͤſz	süß
von	von
ſũſzem	Süßem
Sawr	sauer
von	von
ſawrem	Saurem
/	/
vnd	und
wÿe	wie
eynerleÿ	einerlei
erd	Erde
in	in
dem ſelben	demselben
gartten	Garten
mancherleÿ	mancherlei
kraut	Kraut
gewachſen	gewachsen
vnd	und
ſich	sich
darinnen	darin
erneren	ernähren
⸗	-

den	den
hÿmeln	Himmeln
wann	wann
ein	eine
ÿegklych	jegliche
form	Form
in	in
diſen	diesen
vergencklychen	vergänglichen
dingen	Dingen
hat	hat
jr	ihre
aÿgen	eigene
ſterns	Sterns
krafft	Kraft
in	in
dem	dem
hÿmel	Himmel
⸗	-

doch	doch
muͤſſen	müssen
ſÿ	sie
der	der
erd	Erde
aller meÿſt	allermeist
haben	haben
in	in
ir	ihrer
narung	Nahrung
als	als
ſÿ	sie
haben	haben
an	an
jrem	ihrem
ſelb	selbigen
weſen	Wesen

vnd	und
darumb	darum
dorrẽtt	dürrt
ſÿ	sie
an	an
dem	dem
lufft	Luft
wenn	wenn
man	man
ſÿ	sie
auſz	aus
der	der
erd	Erde
zeücht	zieht
/	/

wÿe	wie
das	dass
ſÿ	sei
das	dass
der	der
lufft	Luft
bey	bei
der	der
erd	Erde
do	da
wir	wir
wonen	wohnen
auch	auch
gemiſchett	gemischt
ſeÿ	sei
auſz	aus
den	den
vÿer	vier
elementen	Elementen

doch	doch
hatt	hat
er	er
dar zů	dazu
wenig	wenig
alſo	also
das	dass
den	den
kreütern	Kräutern
nitt	nicht
genuͤgt	genügt
:	:

ſo	so
ſpriche	spreche
ich	ich

nein	nein
/	/

wann	wann
ſÿ	sie
haben	haben
wunderliche	wunderliche
werck	Werke
von	von
dar	der
ſtern	Sterne
krefften	Kräften
die	die
ſich	sich
in	in
jr	ihre
vorm	Form
trückẽ	drücken
recht	recht
als	als
eĩ	eine
geyſtlich	geistliche
vorm	Form
oder	oder
ein	ein
eben pild	Ebenbild
eines	eines
gemeinen	gemeinen
dings	Dings
dar	da
in	in
dem	dem
ſpÿegel	Spiegel
deiner	deiner
vernunfft	Vernunft
iſt	ist
getrückt	gedrückt

das	das
zeücht	zieht
dich	dich
võ	von
einer	einer
ſtatt	Stätte
czů	zu
der	der
andern	anderen
rechtt	recht
in	in
der	der
wryſz	Weise
würckent	wirkend
der	der
ſtern	Sterne
krefft	Kraft
in	in
der	der
kreüter	Kräuter
art	Art

Spricht	Sprichst
aber	aber
du	du
dz	dass
das	das
geſchech	geschehe
von	von
dẽ	des
boͤſen	bösen
geÿſt	Geistes
dz	das
iſt	ist
nit	nicht
war	wahr

Sag	Sag
mir	mir
was	was
ein	ein
vogel	Vogel
ſünd	sind
der	der
heiſt	heißt
zů	zu
latein	Latein
Merops	Merops
vñ	und
heiſt	heißt
zů	zu
teütſch	Deutsch
baumheckel	Baumheckel
vnd	und
niſtet	nistet
in	in
dẽ	den
hohen	hohen
baumen	Bäumen

vnd	und
wenn	wenn
man	man
jm	ihm
ſein	sein
kindt	Kind
verſchlecht	verschlägt
mit	mit
einẽ	einem
zwickel	Zwickel
/	/
ſo	so
bringt	bringt
er	er
ein	ein
kraut	Kraut
vnd	und
helt	hält
es	es
für	vor
dẽ	den
zwickel	Zwickel
ſo	so
fert	fährt
er	er
hindan	hindan
⸗	-

Dz	Das
kraut	Kraut
zů	zu
latein	Latein
heiſt	heißt
herba	herba
meropis	meropis

das	das
heiſt	heißt
baumheckel kraut	Baumheckelkraut
vnd	und
heiſt	heißt
in	in
der	der
zauberer	Zauberer
bůch	Buch
chora	Chora

Es	Es
haben	haben
auch	auch
andere	andere
kreüter	Kräuter
gar	gar
wunderliche	wunderliche
werck	Werke
als	als
patongen kraut	Batongenkraut
vñ	und
eÿſen kraut	Eisenkraut
das	das
zů	zu
latein	Latein
verbena	Verbena
heÿſt	heißt
⸗	-

ÿedoch	jedoch
ſoͤl	soll
man	man
in	in
die	die
zynel	Zinnel
decken	decken
in	in
diſem	diesem
ſtraſſen lauffer	Straßenläufer
⸗	-

Wann	Wann
es	es
waͤr	wäre
nit	nicht
tugentlich	tugendlich
gethan	getan
der	der
die	die
heÿligkeit	Heiligkeit
für	vor
die	die
hundt	Hunde
würff	würfe
/	/
vnd	und
der	der
das	das
edel	edle
geſteine	Gestein
wider	wider
der	der
ſchwein	Schweine
fuͤſz	Füße
würff	würfe
⸗	-

zwar	zwar
das	das
wer	wäre
vnbillich	unbillig

ich	ich
weiſz	weiß
das	das
wol	wohl

das	dass
liebe	liebe
kint	Kinder
ſelten	selten
prot	Brot
handlen	handeln
das	dass
reÿſz	riss
dẽ	den
hundẽ	Hunden
etwas	etwas
von	von
vñ	und
anðn	andern
zuckeren	Zuckern
¶	¶

Võ	Von
ð	der
wermůt	Wermut

Abſintheũ	Absintheum
heiſt	heißt
wermůt	Wermut

dz	das
iſt	ist
gar	gar
ein	ein
pitter	bitteres
kraut	Kraut
vnnd	und
iſt	ist
mẽſchlichẽ	menschlichen
art	Art
gar	gar
nücz	nützlich
vngeſchmackſam	und geschmacksam

alſo	also
ſpricht	spricht
Platearius	Platearius
vñ	und
anð	andere
groſz	große
meiſter	Meister
⸗	-

Wer	Wer
des	des
krauts	Krauts
ſafft	Saft
trinckt	trinkt

das	das
iſt	ist
für	für
mangerley	mancherlei
gůt	gut

Es	Es
iſt	ist
auch	auch
für	für
dẽ	den
fallenden	fallenden
ſiechtũb	Siechtum
gůt	gut
der	der
zů	zu
latein	Latein
apoplexia	apoplexia
heiſt	heißt
wẽn	wenn
man	man
fürcht	fürchtet
dz	dass
ð	der
kõmen	kommen
woͤl	will

vñ	und
iſt	ist
gar	gar
ein	eine
gůte	gute
ercznei	Arznei
dẽ	dem
die	die
ſprach	Sprache
verlegen	verlegen
iſt	ist

wer	wer
or würm̃	Ohrwürmer
in	in
dẽ	den
orẽ	Ohren
hat	hat
ð	der
treüff	träuft
des	des
ſafftes	Safts
darein	darein
⸗	-

wer	Wer
des	des
ſafftes	Safts
trincket	trinkt
dẽ	dem
macht	macht
es	es
dz	das
geſicht	Gesicht
klar	klar
⸗	-

es	es
beſchirmet	beschirmt
auch	auch
buͤcher gewãd	Büchergewänder
vnd	und
holcz	Holz
vil	viele
iar	Jahre
vor	vor
würmen	Würmern
vñ	und
vor	vor
meüſen	Mäusen

vñ	und
iſt	ist
gar	gar
gůt	gut
dẽ	dem
magen	Magen
wãn	wann
dẽ	der
ſtercket	stärkt
es	es

vñ	und
ſterckt	stärkt
des	des
eſſens	Essens
kochen	Kochen
in	in
dẽ	dem
magen	Magen

Wenn	Wenn
man	man
wermůt	Wermut
mit	mit
wein	Wein
roͤſt	röstet
vñ	und
ſalbet	salbt
der	der
menſchen	Menschen
leib	Leib
damit	damit
dẽ	der
behůt	behütet
ſÿ	sei
vor	vor
dẽ	den
floͤhen	Flöhen

vñ	und
welcher	welcher
ſchreÿber	Schreiber
ſein	seine
dinten	Tinte
damit	damit
ſeũdt	siedet
wz	was
er	er
buͤcher	Bücher
oder	oder
brieff	Briefe
da mit	damit
ſchreibt	schreibt
die	die
nagen	nagen
die	die
meüſz	Mäuse
nit	nicht

es	es
iſt	ist
ein	ein
wunder	Wunder
dz	dass
die	die
wermuͤt	Wermut
zů	zu
eigenheyt	Eigenheit
an	an
ir	ihr
hat	hat

ſÿ	sie
ſeind	sind
widerwertige	widerwertige
an einander	aneinander
⸗	-

Sÿ	Sie
hat	hat
die	die
art	Art
des	dass
ſÿ	sie
entſchleüſt	entschleust
vnd	und
weichet	weicht
den	den
menſchen	Menschen
der	der
des	des
bedarff	bedarf
vñ	und
hat	hat
auch	auch
die	die
art	Art
daz	dass
ſÿ	sie
zů ſam̃en zeücht	zusammenzieht
vnd	und
ſtreng	streng
macht	macht
aber	aber
den	den
der	der
es	es
bedarff	bedarf

Die	Die
ander	andere
art	Art
hat	hat
ſÿ	sie
von	von
