toraj	torej
mu	mu
podajo	podajo
bukve	bukve
,	,
ki	ki
ſo	so
ſe	se
ravno	ravno
brale	brale
.	.
aku	ako
be	bi
se	se
pak	pa
en	en
greshnek	grešnik
sramuval	sramoval
svoje	svoje
grehe	grehe
spovedat	spovedati
?	?
is	iz
belih	belih
zhervov	črvov
,	,
ki	ki
imajo	imajo
ruſo	ruso
glavo	glavo
,	,
ſe	se
is	iz
jajzhkov	jajčkov
od	od
kebrov	kebrov
v	v
semljo	zemljo
naleshenih	izleženih
svalijo	izvalijo
,	,
dvej	dve
leti	leti
v	v
semlji	zemlji
od	od
kuren	korenov
shita	žita
,	,
trave	trave
,	,
slaſti	zlasti
od	od
kromperja	krompirja
preredijo	priredijo
,	,
ino	in
spomlad	spomladi
tretiga	tretjega
leta	leta
v	v
kebre	kebre
ſpreminèni	spremenjeni
na	na
ſvitlobo	svetlobo
perlesejo	prilezejo
.	.
vézhna	večna
zha_ſt	čast
naj	naj
bó	bo
t_i	ti
,	,
vezhna	večna
hvala	hvala
,	,
ozhe	oče
,	,
ti	ti
ſi	si
nam	nam
shivljenje	življenje
dál	dal
;	;
duſha	duša
ti	ti
bo	bo
vézhno	večno
zhaſt	čast
dajala	dajala
,	,
—	—
,	,
srezhen	srečen
,	,
kdor	kdor
ne	ne
martra	martra
nizh	nič
shivál	žival
!	!
pa	pa
kakor	kakor
lépe	lepa
perve	prva
,	,
tako	tako
shaloſtne	žalostna
ſo	so
bile	bila
poſlednje	poslednja
léta	leta
˛salomonoviga	salomonovega
kraljevanja	kraljevanja
.	.
tudi	tudi
govédino	govedino
ino	in
drobnizo	drobnico
shenite	ženite
ſeboj	seboj
,	,
ino	in
blagoſlovíta	blagoslovita
me	me
ſhe	še
,	,
preden	preden
greſta	gresta
!	!
9.	9.
ti	ti
nimaſh	nimaš
sheleti	želeti
tvojiga	tvojega
blishniga	bližnjega
shene	žene
.	.
tudi	tudi
zhes	čez
ilirijo	ilirijo
ſo	so
tako	tako
imenovani	imenovani
góti	goti
,	,
dolgobrádzi	dolgobradci
,	,
in	in
drugi	drugi
nemſhki	nemški
divji	divji
narodi	narodi
,	,
v	v
trumah	trumah
brès	brez
ſhtivila	števila
,	,
na	na
laſhko	laško
vreli	vreli
,	,
in	in
krivavoſtráſhni	krvavo_strašno
ſléd	sled
sa	za
ſeboj	seboj
puſtili	pustili
.	.
fecit	fecit
franciscus	franciscus
alvian	alvian
,	,
parochus	parochus
runnensis	runnensis
.	.
sręshi	zreži
eno	eno
libro	libro
ſoknatiga	soknatega
meſa	mesa
ne	neopranega
opraniga	neopranega
na	na
tanke	tanke
ręsíne	rezine
,	,
ga	ga
potolzi	potolci
s'	z
noshovim	noževim
robam	robom
,	,
obloshi	obloži
v'	v
koso	kozo
;	;
en	en
malo	malo
sakaj	zakaj
ony	oni
vaſs	vas
bódo	bodo
isdajali	izdajali
v'	v
ſvètvaliſha	svetovališča
,	,
inu	in
v'	v
ſvojih	svojih
ſhulah	šolah
vaſs	vas
bódo	bodo
gajshlali	gajžlali
.	.
taka	taka
ſkvaſena	skvašena
perſt	prst
ſe	se
najde	najde
v	v
blatnati	blatnati
,	,
jesérnati	jezernati
,	,
in	in
mozhirni	močvirni
semlji	zemlji
,	,
kjer	kjer
bizhje	bičje
,	,
lozhje	ločje
in	in
druga	druga
travnata	travnata
ſhara	šara
raſte	raste
.	.
(	(
na	na
ſtrani	strani
.	.
pred	pred
s.	s.
jakobam	jakobom
peteline	peteline
ręsati	rezati
.	.
glejte	glejte
!	!
v	v
tem	tem
meſzi	mesecu
ſe	se
polęti	poleti
ta	ta
21.	21.
dan	dan
sazhne	začne
.	.
pod	pod
pasdiho	pazduho
je	je
imel	imel
nekaj	nekaj
opréſnih	opresnih
ſhe	še
mókrih	mokrih
séliſh	zelišč
,	,
ki	ki
jih	jih
je	je
bil	bil
ravno	ravno
v	v
viru	viru
natergal	natrgal
,	,
in	in
v	v
rôkah	rokah
je	je
korenino	korenino
dershal	držal
in	in
jo	jo
ravno	ravno
jédel	jedel
.	.
„	„
nímaſh	nimaš
mi	mi
od	od
njih	njih
jéſti	jesti
,	,
”	”
je	je
rêkla	rekla
,	,
„	„
pa	pa
tudi	tudi
kaj	kaj
drusiga	drugega
ne	ne
jéj	jej
,	,
bres	brez
de	da
bi	bi
mêni	meni
poprej	poprej
ne	ne
pokasal	pokazal
.	.
vi	vi
preneſſete	prenesete
radi	radi
te	te
naſpametne	nespametne
:	:
ke	ker
ſte	ste
ſami	sami
pametni	pametni
.	.
21.	21.
on	on
pak	pa
nima	nima
korenine	korenine
ſam	sam
v'	v
ſebi	sebi
,	,
ampak	ampak
je	je
zhaſni	časni
:	:
kadar	kadar
pak	pa
nadlóga	nadloga
ali	ali
preganjanje	preganjanje
savólo	zavoljo
beſsęde	besede
vſtane	vstane
,	,
ſe	se
on	on
sdajzi	zdajci
pohuiſha	pohujša
.	.
joshef	jožef
je	je
bil	bil
grosno	grozno
sal	zal
mladenezh	mladenič
.	.
matth.	matth.
gléj	glej
,	,
kako	kako
je	je
ſnég	sneg
tam	tam
,	,
kamor	kamor
ſolnze	sonce
ſíje	sije
,	,
s	s
zhudno	čudno
lépimi	lepimi
,	,
rudezhe	rdeče
in	in
viſhnjevo	višnjevo
in	in
seléno	zeleno
ſe	se
leſketezhimi	lesketajočimi
iſkrami	iskrami
poſút	posut
!	!
tudi	tudi
on	on
je	je
sazhel	začel
ſtradati	stradati
.	.
po_tem	potem
je	je
jesuſ	jezus
bukve	bukve
saperl	zaprl
,	,
jih	jih
ſlushabniku	služabniku
dal	dal
,	,
ino	in
ſede	sede
.	.
urno	urno
,	,
kaj	kaj
je	je
noviga	novega
?	?
poſlédnjizh	poslednjič
bo	bo
ſtrohnélo	strohnelo
in	in
ſe	se
v	v
perſt	prst
ſpremenilo	spremenilo
.	.
na	na
15.	15.
poſtavi	postavi
.	.
(	(
dalje	dalje
ſledi	sledi
.	.
5.	5.
ti	ti
ſlęjpi	slepi
vidio	vidijo
,	,
krulovi	kruljavi
hódio	hodijo
,	,
góbavi	gobavi
ſo	so
ozhiſheni	očiščeni
,	,
gluhi	gluhi
ſliſhio	slišijo
,	,
ti	ti
mèrtvi	mrtvi
gori	gor
vſtajajo	vstajajo
,	,
inu	in
tim	tem
vbógim	ubogim
ſe	se
evangęli	evangelij
osnanuje	oznanjuje
.	.
baron	baron
.	.
goſpod	gospod
bog	bog
ſe	se
bo	bo
sa	za
vaſ	vas
vojſkoval	vojskoval
!	!
19.	19.
dan	dan
pretezheniga	pretečenega
meſza	meseca
ob	ob
treh	treh
v	v
jutru	jutru
je	je
od	od
ſeverja	severa
priſhla	prišla
in	in
ſkoraj	skoraj
pol	pol
ure	ure
zelo	zelo
goſta	gosta
,	,
ko	kot
ſvinzhene	svinčene
kugle	krogle
sa	za
puſho	puško
,	,
in	in
vmeſ	vmes
tudi	tudi
ko	kot
orehi	orehi
debéla	debela
tozha	toča
,	,
in	in
je	je
po	po
zelim	celem
gorenjim	gornjem
kraſu	krasu
padala	padala
.	.
hovi	hovi
poſtelji	postelji
ſe	se
ſklenivſki	sklenivski
je	je
fantka	fantka
,	,
ki	ki
je	je
ravno	ravno
sraven	zraven
njé	nje
ſedel	sedel
,	,
ôjſtro	ostro
in	in
milo	milo
poglédala	pogledala
,	,
ter	ter
