Effter	Efter
H:K:M:ttz	H:K:M:ttz
nådige	nådige
resolution	resolution
dömmes	döms
Oluff	Oluff
till	till
sin	sin
odels	odels
och	och
möderne	möderne
jordh	jord
be:te	be:te
8	8
mälingar	mälingar
i	i
Månsgården	Månsgården
.	.
	
Allmogen	Allmogen
låfuadhe	lovade
sigh	sig
willia	vilja
låtha	låta
det	det
till	till
willig	villig
finnas	finnas
efter	efter
sin	sin
förmågha	förmåga
.	.
	
Samtycktes	Samtycktes
och	och
afdömbdess	avdömdes
fastebreeff	fastebrev
gifues	gives
till	till
Måns	Måns
Eriksson	Eriksson
i	i
Mo	Mo
opå	uppå
någon	någon
jordh	jord
\	\
i	i
Moo	Moo
belegen	belägen
/	/
som	som
han	han
till	till
sigh	sig
på	på
sine	sina
stiufbarns	stugbarns
wegnar	vägnar
/	/
:	:
och	och
dem	dem
widh	vid
tijdhen	tiden
till	till
återlössen	återlösen
tilbytt	tillbytt
och	och
kiöpt	köpt
hafr	har
.	.
nembl.	näml.
Måns	Måns
Ersson	Ersson
bytt	bytt
jordh	jord
för	för
jordh	jord
(	(
mz	mz
)	)
?	?
	
Oplästes	Upplästes
den	den
Kongl.	Kungl.
hofrättens	hovrättens
resolution	resolution
daterat	daterat
den	den
4	4
Novembris	November
1653	1653
.	.
	
Brofougden	Brofogden
Johan	Johan
Mickelsson	Mickelsson
,	,
fullmächtige	fullmäktige
giordh	gjord
å	å
Moses	Moses
Anderssons	Anderssons
wägnar	vägnar
i	i
Härnösand	Härnösand
,	,
käradhe	kärade
till	till
Moses	Moses
broders	broders
son	son
Anders	Anders
Pehrsson	Pehrsson
i	i
Giäle	Giäle
,	,
effter	efter
en	en
broder	broder
part	part
i	i
be:te	be:te
Giäle	Giäle
liggiandes	liggandes
,	,
den	den
han	han
nu	nu
uthi	uti
een	en
långh	lång
tijdh	tid
brukat	brukat
hafwer	har
,	,
och	och
be:te	be:te
Moses	Moses
hwarcken	varken
för	för
sin	sin
fäderne	fäderne
arfzrätt	arvsrätt
eller	eller
lott	lott
till	till
det	det
ringaste	ringaste
bekommit	bekommit
.	.
	
Helje	Helje
Larsson	Larsson
i	i
Åflo	Åflo
inlade	inlade
i	i
rätten	rätten
en	en
räckningh	räkning
,	,
hwar	var
medh	med
han	han
bewiisade	bevisade
sigh	sig
hafwa	ha
effter	efter
wäll:tt	wäll:tt
befallningzmans	befallningsmans
gifne	givna
zedel	sedel
uthlagdt	utlagt
proviant	proviant
till	till
maiorns	majorns
wälb:	wälb:
Petter	Petter
Palms	Palms
squadron	skvadron
för	för
Hammerdals	Hammerdals
tinglagh	tinglag
,	,
aff	av
åthskillige	åtskilliga
pertzeler	persedlar
,	,
hwilke	vilka
äre	är
nu	nu
wärderade	värderade
till	till
otta	åtta
och	och
en	en
halff	halv
Rd:r	Rd:r
uthi	uti
redo	redo
penninger	penningar
.	.
	
Nils	Nils
Olofsson	Olofsson
i	i
Ås	Ås
ähr	är
af	av
Daniel	Daniel
Mårtensson	Mårtensson
på	på
Åsen	Åsen
stämbd	stämd
till	till
tingz	tings
och	och
sigh	sig
tå	då
absænterede	absenterede
,	,
saak	sak
fälles	fälles
han	han
till	till
3	3
m:r	m:r
för	för
swarlöösa	svarlösa
.	.
	
Hans	Hans
Olufz	Olufz
gårdh	gård
i	i
Ede	Ede
,	,
huilken	vilken
här	här
effter	efter
för	för
cronogårdh	kronogård
om	om
3	3
tunlandh	tunnland
uthsäde	utsäde
berächnas	beräknas
skola	skola
och	och
Måns	Måns
Eriksson	Eriksson
i	i
Mo	Mo
uthbetalar	utbetalar
till	till
ahrfuinger	arvingar
och	och
kyrckian	kyrkan
för	för
1	1
2	2
/	/
3	3
tl:d	tl:d
od	od
18	18
rd:r	rd:r
.	.
30	30
rd:r	rd:r
.	.
	
Be:te	Be:te
Jon	Jon
bekenner	bekänner
att	att
Måns	Måns
kom	kom
till	till
Fyrås	Fyrås
och	och
krafde	krävde
chronones	kronans
räst	rest
såsom	såsom
ock	ock
stämbde	stämde
sigh	sig
till	till
tingz	tings
.	.
	
Till	Till
samma	samma
prof	prov
förordnades	förordnades
Erik	Erik
Nilsson	Nilsson
i	i
Åsen	Åsen
,	,
medh	med
sigh	sig
tagandes	tagandes
fem	fem
andre	andra
tolfmän	tolvmän
,	,
som	som
jorden	jorden
besee	bese
och	och
upmätta	uppmäta
kunna	kunna
.	.
	
ANNO	ANNO
1662	1662
den	den
25	25
Novembris	November
höltz	hölls
ordinarij	ordinarie
laga	laga
tingh	ting
medh	med
allmogen	allmogen
af	av
Hammerdhalz	Hammerdals
tinglagh	tinglag
wederwarandes	vedervarandes
chronones	kronans
befallningzman	befallningsman
ehrligh	ärlig
och	och
wälförståndigh	välförståndig
Daniel	Daniel
Bertilsson	Bertilsson
sampt	samt
dhe	de
tolff	tolv
edhsworne	edsvurna
lagrättessmän	lagrättssmän
.	.
	
I	I
lijcka	lika
måtto	måtto
publicerades	publicerades
Kongel.	Kungl.
Maij:tz	Maij:tz
uthgifne	utgivna
patent	patent
daterat	daterat
Stockholm	Stockholm
d	d
.	.
28	28
septembris	september
Ao	Ao
1661	1661
.	.
	
Sackfälles	Sakfälls
altså	alltså
förbe:te	förbe:te
Pher	Pher
Olufsson	Olufsson
effter	efter
dhet	det
3	3
cap.	kap.
kiöpmåhl	köpmål
till	till
penningr	penningar
...	...
...	...
12	12
d:r	d:r
för	för
sitt	sitt
förfalskade	förfalskade
godz	gods
,	,
och	och
tagi	tag
then	den
åter	åter
werdh	värd
som	som
kiöpte	köpte
,	,
och	och
then	den
flerdh	flärd
som	som
såldhe	sålde
,	,
som	som
lagh	lag
för	för
måhr	mår
.	.
	
Resolverades	Resolverades
dhenne	denne
sak	sak
såledz	således
at	att
syn	syn
skulle	skulle
åm	om
dhetta	detta
först	först
ransaka	rannsaka
,	,
och	och
sedhan	sedan
sin	sin
dom	dom
winna	vinna
.	.
	
Dock	Dock
ther	där
emot	emot
hafwa	ha
Ås	Ås
byggiarena	byggarna
böxel	böxel
bref	brev
uthaf	utav
fordom	fordom
befalningzman	befallningsman
förskaffat	förskaffat
af	av
Jacob	Jacob
Chr	Chr
.	.
	
Blef	Blev
slutitt	slutet
,	,
Mårthen	Mårthen
Tedt	Tedt
detta	detta
att	att
betala	betala
.	.
3	3
.	.
	
Anno	Anno
1664	1664
d	d
.	.
26	26
Novemb:r	November
tå	då
laga	laga
tingh	ting
höltz	hölls
medh	med
almogen	allmogen
uthi	uti
Hammerdahl	Hammerdahl
beswäradhe	besvärade
sigh	sig
Knut	Knut
