sobre	Sobre
esto	esto
no	no
ay	hay
mas	más
qu	que
escrevir	escribir
ni	ni
avisar	avisar
a	a
vasmds	VMs
de	de
lo	lo
que	que
tengo	tengo
avisado	avisado
	,
si	si
no	no
es	es
esto	esto
que	que
escrivo	escribo
aora	ahora
de	de
nuebo	nuevo
que	que
va	va
por	por
consejo	consejo
del	del
dotor	doctor
Frias	Frías
	,
qu	que
es	es
mi	mi
letrado	letrado
	:
que	que
tomen	tomen
a	a
lucia	Lucía
y	y
la	la
lleven	lleven
fuera	fuera
del	del
obispado	obispado
para	para
quando	cuando
vaya	vaya
la	la
citatoria	citatoria
	,
porq	porque
no	no
baya	vaya
el	el
probisor	provisor

vamd	VM
	,
señor	señor
	,
ponga	ponga
en	en
esto	esto
mucha	mucha
diligenzia	diligencia
y	y
mi	mi
ermana	hermana
por	por
lo	lo
mesmo	mismo
	,
que	que
por	por
mi	mi
ermano	hermano
no	no
quedara	quedará

y	Y
el	el
comer	comer
	,
como	como
de	de
tal	tal
arte	arte
que	que
	,
si	si
un	un
dia	día
lo	lo
tengo	tengo
	,
quatro	cuatro
no	no
lo	lo
como	como

mira	Mirad
por	por
el	él
y	y
azelde	hacedle
toda	toda
cortesia	cortesía
	,
como	como
es	es
de	de
Razon	razón

señora	Señora
mia	mía

d	De
esta	esta
carzel	cárcel
do	donde
quedo	quedo
de	de
ocanna	Ocaña
Rogando	rogando
a	a
dios	Dios
por	por
la	la
vida	vida
y	y
salud	salud
de	de
vasmds	VMs
como	como
por	por
la	la
mia	mía

yjo	Hijo
mio	mío
muy	muy
querido	querido
	,
mucho	mucho
me	me
a	ha
pesado	pesado
que	que
vestro	vuestro
ermano	hermano
os	os
aya	haya
dejado	dejado

y	Y
el	el
mayor	mayor
de	de
todos	todos
es	es
verme	verme
ausente	ausente
de	de
quanto	cuanto
quiero	quiero
	,
que	que
lo	lo
vm	VM
llebo	llevó
a	a
esa	esa
tiera	tierra
le	le
tien	tiene
ya	ya
libre	libre
y	y
venir	venir
a	a
esta	ésta
donde	donde
tales	tales
prendas	prendas
quedo	quedó
	,
como	como
es	es
su	su
mujer	mujer
y	e
hijos	hijos
	;
y	y
tan	tan
desanparados	desamparados
que	que
si	si
no	no
es	es
el	el
socorro	socorro
de	de
nuestro	Nuestro
sr	Señor
y	y
de	de
algunos	algunos
nuestros	nuestros
deudos	deudos
	,
que	que
lo	lo
haçen	hacen
mejor	mejor
que	que
los	los
que	que
lo	lo
son	son
	,
y	y
d	de
esta	esta
santa	santa
vieja	vieja
mi	mi
madre	madre
	,
que	que
vibe	vive
y	y
vibe	vive
pa	para
que	que
lo	lo
dege	deje
de	de
socorer	socorrer
por	por
darlo	darlo
a	a
sus	sus
nietos	nietos
	,
no	no
se	sé
que	qué
sera	será
de	de
nosotros	nosotros

y	Y
	,
pues	pues
os	os
pusisteis	pusisteis
a	a
tanto	tanto
peligro	peligro
	,
empleardo	emplearlo
en	en
servicio	servicio
de	de
dios	Dios

en	En
mi	mi
enfermedad	enfermedad
me	me
a	ha
echo	hecho
muchas	muchas
mds	mercedes
sin	sin
ningun	ningún
interese	interés
el	el
sr	señor
alo	Alonso
garçia	García
y	y
su	su
sa	señora
mi	mi
tia	tía
Ana	Ana
de	--
de	de
villalpando	Villalpando

y	Y
quede	quede
contigo	contigo
el	el
q	que
te	te
crio	crió
	,
q	que
nuca	nunca
te	te
dexe	deje

a	A
mi	mi
sobrino	sobrino
jeronimo	Jerónimo
y	y
antonio	Antonio
les	les
beso	beso
las	las
manos	manos
y	y
que	que
dios	Dios
dexe	deje
ver	ver

.	--
el	El
portador	portador
lleva	lleva
seis	seis
Rs	reales
pa	para
la	la
guchillera	cuchillera

Con	Con
la	la
otra	otra
flota	flota
primera	primera
que	que
de	de
aqui	aquí
yra	irá
a	a
un	un
año	año
	,
embiare	enviaré
a	a
vm	VM
otros	otros
muy	muy
buenos	buenos
libros	libros
que	que
agora	ahora
	,
por	por
la	la
brevedad	brevedad
del	del
tiempo	tiempo
	,
no	no
e	he
podido	podido
enviar	enviar
	,
que	que
seran	serán
muy	muy
vendibles	vendibles
con	con
los	los
demas	demás
libros	libros
que	que
oviere	hubiere
nuevos	nuevos

fue	Fue
tanto	tanto
el	el
regoçijo	regocijo
que	que
reçibi	recibí
con	con
su	su
carta	carta
que	que
agora	ahora
me	me
pareçe	parece
que	que
lo	lo
buelbo	vuelvo
a	a
rrecivir	recibir
de	de
nuebo	nuevo
	,
pues	pues
no	no
çeso	ceso
de	de
leerla	leerla
y	y
consolarme	consolarme
con	con
ella	ella

por	Por
tanto	tanto
	,
e	he
acordado	acordado
de	de
enviaros	enviaros
	,
señor	señor
	,
a	a
llamar	llamar
porque	porque
no	no
