solo	Sólo
te	te
pido	pido
me	me
encomiendes	encomiendes
a	a
dios	Dios
y	y
mires	mires
por	por
la	la
salud	salud
de	de
mi	mi
yjo	hijo
y	y
tuya	tuya
	,
hasiendo	haciendo
como	como
quien	quien
tu	tú
eres	eres
	,
que	que
asi	así
lo	lo
espero	espero

Al	Al
Sr	señor
Sevastian	Sebastián
del	del
Sarro	Sarro
veso	beso
las	las
manos	manos
y	y
que	que
estimo	estimo
mucho	mucho
la	la
mrd	merced
que	que
nos	nos
haçe	hace

io	Yo
la	la
goço	gozo
para	para
servir	servir
a	a
vmd	VM

mi	Mi
amigo	amigo
Lorra	Lorra
me	me
avisa	avisa
como	como
Vm	VM
le	le
ha	ha
escrito	escrito
para	para
q	que
le	le
remita	remita
el	el
ynteres	interés
de	de
los	los
meses	meses
q	que
a	a
Vm	VM
se	se
le	le
deben	deben

sospecHo	Sospecho
q	que
o	o
,	--
la	la
cogerian	cogerían
en	en
Najera	Nájera
o	o
acaso	acaso
a	a
quien	quien
yo	yo
la	la
di	di
para	para
ponerla	ponerla
en	en
la	la
estafeta	estafeta
no	no
lo	lo
hiciese	hiciese
	,
que	que
todo	todo
podria	podría
ser	ser

la	La
madera	madera
se	se
esta	está
suspensa	suspensa
,	--
porq	porque
Manzanos	Manzanos
hizo	hizo
de	de
las	las
suias	suyas
,	--
y	y
nro	nuestro
Pe	padre
se	se
ha	ha
retirado	retirado

Beso	Beso
las	las
manos	manos
de	de
vm	VM
	,
Isaac	Isaac
Balde	Balde
algunos	Algunos
6	6
o	o
-	--
7	7
navios	navíos
que	que
partiron	partieron
de	de
Ostende	Ostende
para	para
aÿ	ahí
	(
ssan	San
ssan	Sebastián
	,
cadex	Cádiz
y	y
Lisboa	Lisboa
	)
se	se
Perdieron	perdieron
adelante	adelante
de	de
dunquerque	Dunquerque

eso	Eso
vmd	VM
lo	lo
podra	podrá
disponer	disponer
desde	desde
Alla	allá
con	con
carta	carta
pa	para
mi	mí
o	o
para	para

y	Y
si	si
tuviere	tuviere
culpa	culpa
	,
que	que
le	le
castiguen	castiguen
	;
y	y
si	si
no	no
	,
que	que
castiguen	castiguen
los	los
testigos	testigos
falssos	falsos
	,
que	que
buenos	buenos
y	y
Rectos	rectos
son	son
aquellos	aquellos
senores	señores
que	que
haran	harán
justiçia	justicia

querida	Querida
espossa	esposa
de	de
mi	mi
alma	alma
Doña	doña
mariana	Mariana
de	de
Acuña	Acuña

i	Y
no	no
presuman	presuman
es	es
chança	chanza
	,
que	que
de	de
mi	mi
parte	parte
les	les
juro	juro
a	a
dios	Dios
que	que
no	no
es	es

sabe	Sabe
dios	Dios
que	que
quiziera	quisiera
en	en
esta	esta
ocazion	ocasión
gozar	gozar
de	de
mi	mi
libertad	libertad
para	para
yr	ir
ver	ver
a	a
vmd	VM
y	y
para	para
le	le
contar	contar
mis	mis
desdichas	desdichas
y	y
adversidades	adversidades
	,
que	que
lo	lo
sierto	cierto
es	es
se	se
consolara	consolará
comigo	conmigo

y	Y
assi	así
	,
a	ha
venido	venido
aqui	aquí
agustin	Agustín
sanchez	Sánchez
y	y
me	me
he	he
olgado	holgado
de	de
las	las
nuevas	nuevas
q	que
el	él
me	me
a	ha
dado	dado
de	de
ti	ti
	,
que	que
entendi	entendí
que	que
esas	esas
nuevas	nuevas
que	que
a	ha
catorse	catorce
años	años
que	que
no	no
te	te
he	he
visto	visto
ni	ni
tu	tú
as	has
sido	sido
para	para
escrivirme	escribirme

lo	Lo
que	que
tu	tú
puedes	puedes
hazer	hacer
en	en
vida	vida
no	no
lo	lo
fies	fíes
de	de
nadie	nadie
pa	para
que	que
despues	después
que	que
tu	tú
mueras	mueras
lo	lo
aga	haga
	,
que	que
lo	lo
verdadero	verdadero
hazer	hacer
las	las
cossas	cosas
es	es
el	el
que	que
las	las
aga	haga
cada	cada
uno	uno
por	por
si	sí

Sor	Señor
mio	mío
	,
bien	bien
conosco	conozco
que	que
los	los
tienpos	tiempos
estan	están
diferentes	diferentes
de	de
lo	lo
que	que
solianmos	solíamos

La	La
cueba	cueva
de	de
casa	casa
de	de
la	la
Reyna	reina
a	ha
salido	salido
estremada	extremada
y	y
las	las
gracias	gracias
se	se
deben	deben
dar	dar
a	a
fr	fray
Manuel	Manuel
	,
que	que
lo	lo
a	ha
trabajado	trabajado
con	con
primor	primor
y	y
a	a
poca	poca
costa	costa

a	A
felicha	Felicha
,	,
q	que
vino	vino
a	a
la	la
fiesta	fiesta
	,
di	di
con	con
todo	todo
encarecimto	encarecimiento
sus	sus
mems	memorias
	,
q	que
las	las
estimo	estimó
mucho	mucho
,	--
y	y
no	no
se	se
artaba	hartaba
de	de
preguntarme	preguntarme

el	El
desde	desde
el	el
dia	día
22	22
y	y
lo	lo
estara	estará
mucho	mucho
tiempo	tiempo

nosotras	Nosotras
estubimos	estuvimos
en	en
un	un
balcon	balcón
mirando	mirando
	,
q	que
de	de
ber	ver
aquello	aquello
no	no
entramos	entramos
en	en
sosotras	nosotras
en	en
dos	dos
dias	días
ni	ni
podiemos	podemos
comer	comer

Amsterd	Amsterdam
	,
18	18
setiemb	setiembre
1673	1673
Por	Por
lo	lo
poco	poco
negocio	negocio
que	que
agora	ahora
va	va
passando	pasando
no	no
he	he
respondido	respondido
antes	antes
a	a
su	su
muy	muy
agradecida	agradecida
de	de
vm	VM
de	de
6	6
de	de
julio	julio

hago	Hago
quanto	cuanto
puedo	puedo
aun	aun
para	para
embiar	enviar
algo	algo
mas	más
a	a
vm	VM
y	y
hallandolo	hallándolo
bueno	bueno

se	Se
tiene	tiene
animo	ánimo

no	No
se	sé
si	si
lo	lo
causo	causó
el	el
no	no
servir	servir
a	a
Vmd	VM
en	en
el	el
cumplimiento	cumplimiento
y	y
puntualidad	puntualidad
que	que
estava	estaba
obligado	obligado
	,
aunque	aunque
esta	esta
mengua	mengua
no	no
se	se
le	le
puede	puede
atribuir	atribuir
a	a
mi	mi
voluntad	voluntad
.	,
